Abel::font-family: 'Abel', sans-serif;
Abril+Fatface::font-family: 'Abril Fatface', cursive;
Aclonica::font-family: 'Aclonica', sans-serif;
Actor::font-family: 'Actor', sans-serif;
Adamina::font-family: 'Adamina', serif;
Aguafina+Script::font-family: 'Aguafina Script', cursive;
Aladin::font-family: 'Aladin', cursive;
Aldrich::font-family: 'Aldrich', sans-serif;
Alice::font-family: 'Alice', serif;
Alike+Angular::font-family: 'Alike Angular', serif;
Alike::font-family: 'Alike', serif;
Allan::font-family: 'Allan', cursive;
Allerta+Stencil::font-family: 'Allerta Stencil', sans-serif;
Allerta::font-family: 'Allerta', sans-serif;
Amaranth::font-family: 'Amaranth', sans-serif;
Amatic+SC::font-family: 'Amatic SC', cursive;
Andada::font-family: 'Andada', serif;
Andika::font-family: 'Andika', sans-serif;
Annie+Use+Your+Telescope::font-family: 'Annie Use Your Telescope', cursive;
Anonymous+Pro::font-family: 'Anonymous Pro', sans-serif;
Antic::font-family: 'Antic', sans-serif;
Anton::font-family: 'Anton', sans-serif;
Arapey::font-family: 'Arapey', serif;
Architects+Daughter::font-family: 'Architects Daughter', cursive;
Arimo::font-family: 'Arimo', sans-serif;
Artifika::font-family: 'Artifika', serif;
Arvo::font-family: 'Arvo', serif;
Asset::font-family: 'Asset', cursive;
Astloch::font-family: 'Astloch', cursive;
Atomic+Age::font-family: 'Atomic Age', cursive;
Aubrey::font-family: 'Aubrey', cursive;
Bangers::font-family: 'Bangers', cursive;
Bentham::font-family: 'Bentham', serif;
Bevan::font-family: 'Bevan', serif;
Bigshot+One::font-family: 'Bigshot One', cursive;
Bitter::font-family: 'Bitter', serif;
Black+Ops+One::font-family: 'Black Ops One', cursive;
Bowlby+One+SC::font-family: 'Bowlby One SC', sans-serif;
Bowlby+One::font-family: 'Bowlby One', sans-serif;
Brawler::font-family: 'Brawler', serif;
Bubblegum+Sans::font-family: 'Bubblegum Sans', cursive;
Buda::font-family: 'Buda', sans-serif;
Butcherman+Caps::font-family: 'Butcherman Caps', cursive;
Cabin+Condensed::font-family: 'Cabin Condensed', sans-serif;
Cabin+Sketch::font-family: 'Cabin Sketch', cursive;
Cabin::font-family: 'Cabin', sans-serif;
Cagliostro::font-family: 'Cagliostro', sans-serif;
Calligraffitti::font-family: 'Calligraffitti', cursive;
Candal::font-family: 'Candal', sans-serif;
Cantarell::font-family: 'Cantarell', sans-serif;
Cardo::font-family: 'Cardo', serif;
Carme::font-family: 'Carme', sans-serif;
Carter+One::font-family: 'Carter One', sans-serif;
Caudex::font-family: 'Caudex', serif;
Cedarville+Cursive::font-family: 'Cedarville Cursive', cursive;
Changa+One::font-family: 'Changa One', cursive;
Cherry+Cream+Soda::font-family: 'Cherry Cream Soda', cursive;
Chewy::font-family: 'Chewy', cursive;
Chicle::font-family: 'Chicle', cursive;
Chivo::font-family: 'Chivo', sans-serif;
Coda+Caption::font-family: 'Coda Caption', sans-serif;
Coda::font-family: 'Coda', cursive;
Comfortaa::font-family: 'Comfortaa', cursive;
Coming+Soon::font-family: 'Coming Soon', cursive;
Contrail+One::font-family: 'Contrail One', cursive;
Convergence::font-family: 'Convergence', sans-serif;
Cookie::font-family: 'Cookie', cursive;
Copse::font-family: 'Copse', serif;
Corben::font-family: 'Corben', cursive;
Cousine::font-family: 'Cousine', sans-serif;
Coustard::font-family: 'Coustard', serif;
Covered+By+Your+Grace::font-family: 'Covered By Your Grace', cursive;
Crafty+Girls::font-family: 'Crafty Girls', cursive;
Creepster+Caps::font-family: 'Creepster Caps', cursive;
Crimson+Text::font-family: 'Crimson Text', serif;
Crushed::font-family: 'Crushed', cursive;
Cuprum::font-family: 'Cuprum', sans-serif;
Damion::font-family: 'Damion', cursive;
Dancing+Script::font-family: 'Dancing Script', cursive;
Dawning+of+a+New+Day::font-family: 'Dawning of a New Day', cursive;
Days+One::font-family: 'Days One', sans-serif;
Delius+Swash+Caps::font-family: 'Delius Swash Caps', cursive;
Delius+Unicase::font-family: 'Delius Unicase', cursive;
Delius::font-family: 'Delius', cursive;
Devonshire::font-family: 'Devonshire', cursive;
Didact+Gothic::font-family: 'Didact Gothic', sans-serif;
Dorsa::font-family: 'Dorsa', sans-serif;
Dr+Sugiyama::font-family: 'Dr Sugiyama', cursive;
Droid+Sans+Mono::font-family: 'Droid Sans Mono', sans-serif;
Droid+Sans::font-family: 'Droid Sans', sans-serif;
Droid+Serif::font-family: 'Droid Serif', serif;
EB+Garamond::font-family: 'EB Garamond', serif;
Eater+Caps::font-family: 'Eater Caps', cursive;
Expletus+Sans::font-family: 'Expletus Sans', cursive;
Fanwood+Text::font-family: 'Fanwood Text', serif;
Federant::font-family: 'Federant', cursive;
Federo::font-family: 'Federo', sans-serif;
Fjord+One::font-family: 'Fjord One', serif;
Fondamento::font-family: 'Fondamento', cursive;
Fontdiner+Swanky::font-family: 'Fontdiner Swanky', cursive;
Forum::font-family: 'Forum', cursive;
Francois+One::font-family: 'Francois One', sans-serif;
Gentium+Basic::font-family: 'Gentium Basic', serif;
Gentium+Book+Basic::font-family: 'Gentium Book Basic', serif;
Geo::font-family: 'Geo', sans-serif;
Geostar+Fill::font-family: 'Geostar Fill', cursive;
Geostar::font-family: 'Geostar', cursive;
Give+You+Glory::font-family: 'Give You Glory', cursive;
Gloria+Hallelujah::font-family: 'Gloria Hallelujah', cursive;
Goblin+One::font-family: 'Goblin One', cursive;
Gochi+Hand::font-family: 'Gochi Hand', cursive;
Goudy+Bookletter+1911::font-family: 'Goudy Bookletter 1911', serif;
Gravitas+One::font-family: 'Gravitas One', cursive;
Gruppo::font-family: 'Gruppo', sans-serif;
Hammersmith+One::font-family: 'Hammersmith One', sans-serif;
Herr+Von+Muellerhoff::font-family: 'Herr Von Muellerhoff', cursive;
Holtwood+One+SC::font-family: 'Holtwood One SC', serif;
Homemade+Apple::font-family: 'Homemade Apple', cursive;
IM+Fell+DW+Pica+SC::font-family: 'IM Fell DW Pica SC', serif;
IM+Fell+DW+Pica::font-family: 'IM Fell DW Pica', serif;
IM+Fell+Double+Pica+SC::font-family: 'IM Fell Double Pica SC', serif;
IM+Fell+Double+Pica::font-family: 'IM Fell Double Pica', serif;
IM+Fell+English+SC::font-family: 'IM Fell English SC', serif;
IM+Fell+English::font-family: 'IM Fell English', serif;
IM+Fell+French+Canon+SC::font-family: 'IM Fell French Canon SC', serif;
IM+Fell+French+Canon::font-family: 'IM Fell French Canon', serif;
IM+Fell+Great+Primer+SC::font-family: 'IM Fell Great Primer SC', serif;
IM+Fell+Great+Primer::font-family: 'IM Fell Great Primer', serif;
Iceland::font-family: 'Iceland', cursive;
Inconsolata::font-family: 'Inconsolata', sans-serif;
Indie+Flower::font-family: 'Indie Flower', cursive;
Irish+Grover::font-family: 'Irish Grover', cursive;
Istok+Web::font-family: 'Istok Web', sans-serif;
Jockey+One::font-family: 'Jockey One', sans-serif;
Josefin+Sans::font-family: 'Josefin Sans', sans-serif;
Josefin+Slab::font-family: 'Josefin Slab', serif;
Judson::font-family: 'Judson', serif;
Julee::font-family: 'Julee', cursive;
Jura::font-family: 'Jura', sans-serif;
Just+Another+Hand::font-family: 'Just Another Hand', cursive;
Just+Me+Again+Down+Here::font-family: 'Just Me Again Down Here', cursive;
Kameron::font-family: 'Kameron', serif;
Kelly+Slab::font-family: 'Kelly Slab', cursive;
Kenia::font-family: 'Kenia', sans-serif;
Knewave::font-family: 'Knewave', cursive;
Kranky::font-family: 'Kranky', cursive;
Kreon::font-family: 'Kreon', serif;
Kristi::font-family: 'Kristi', cursive;
La+Belle+Aurore::font-family: 'La Belle Aurore', cursive;
Lancelot::font-family: 'Lancelot', cursive;
Lato::font-family: 'Lato', sans-serif;
League+Script::font-family: 'League Script', cursive;
Leckerli+One::font-family: 'Leckerli One', cursive;
Lekton::font-family: 'Lekton', sans-serif;
Lemon::font-family: 'Lemon', cursive;
Limelight::font-family: 'Limelight', cursive;
Linden+Hill::font-family: 'Linden Hill', serif;
Lobster+Two::font-family: 'Lobster Two', cursive;
Lobster::font-family: 'Lobster', cursive;
Lora::font-family: 'Lora', serif;
Love+Ya+Like+A+Sister::font-family: 'Love Ya Like A Sister', cursive;
Loved+by+the+King::font-family: 'Loved by the King', cursive;
Luckiest+Guy::font-family: 'Luckiest Guy', cursive;
Maiden+Orange::font-family: 'Maiden Orange', cursive;
Mako::font-family: 'Mako', sans-serif;
Marck+Script::font-family: 'Marck Script', cursive;
Marvel::font-family: 'Marvel', sans-serif;
Mate+SC::font-family: 'Mate SC', serif;
Mate::font-family: 'Mate', serif;
Maven+Pro::font-family: 'Maven Pro', sans-serif;
Meddon::font-family: 'Meddon', cursive;
MedievalSharp::font-family: 'MedievalSharp', cursive;
Megrim::font-family: 'Megrim', cursive;
Merienda+One::font-family: 'Merienda One', cursive;
Merriweather::font-family: 'Merriweather', serif;
Metrophobic::font-family: 'Metrophobic', sans-serif;
Michroma::font-family: 'Michroma', sans-serif;
Miltonian+Tattoo::font-family: 'Miltonian Tattoo', cursive;
Miltonian::font-family: 'Miltonian', cursive;
Miss+Fajardose::font-family: 'Miss Fajardose', cursive;
Miss+Saint+Delafield::font-family: 'Miss Saint Delafield', cursive;
Modern+Antiqua::font-family: 'Modern Antiqua', cursive;
Molengo::font-family: 'Molengo', sans-serif;
Monofett::font-family: 'Monofett', cursive;
Monoton::font-family: 'Monoton', cursive;
Monsieur+La+Doulaise::font-family: 'Monsieur La Doulaise', cursive;
Montez::font-family: 'Montez', cursive;
Mountains+of+Christmas::font-family: 'Mountains of Christmas', cursive;
Mr+Bedford::font-family: 'Mr Bedford', cursive;
Mr+Dafoe::font-family: 'Mr Dafoe', cursive;
Mr+De+Haviland::font-family: 'Mr De Haviland', cursive;
Mrs+Sheppards::font-family: 'Mrs Sheppards', cursive;
Muli::font-family: 'Muli', sans-serif;
Neucha::font-family: 'Neucha', cursive;
Neuton::font-family: 'Neuton', serif;
News+Cycle::font-family: 'News Cycle', sans-serif;
Niconne::font-family: 'Niconne', cursive;
Nixie+One::font-family: 'Nixie One', cursive;
Nobile::font-family: 'Nobile', sans-serif;
Nosifer+Caps::font-family: 'Nosifer Caps', cursive;
Nothing+You+Could+Do::font-family: 'Nothing You Could Do', cursive;
Nova+Cut::font-family: 'Nova Cut', cursive;
Nova+Flat::font-family: 'Nova Flat', cursive;
Nova+Mono::font-family: 'Nova Mono', cursive;
Nova+Oval::font-family: 'Nova Oval', cursive;
Nova+Round::font-family: 'Nova Round', cursive;
Nova+Script::font-family: 'Nova Script', cursive;
Nova+Slim::font-family: 'Nova Slim', cursive;
Nova+Square::font-family: 'Nova Square', cursive;
Numans::font-family: 'Numans', sans-serif;
Nunito::font-family: 'Nunito', sans-serif;
Old+Standard+TT::font-family: 'Old Standard TT', serif;
Open+Sans+Condensed::font-family: 'Open Sans Condensed', sans-serif;
Open+Sans::font-family: 'Open Sans', sans-serif;
Orbitron::font-family: 'Orbitron', sans-serif;
Oswald::font-family: 'Oswald', sans-serif;
Over+the+Rainbow::font-family: 'Over the Rainbow', cursive;
Ovo::font-family: 'Ovo', serif;
PT+Sans+Caption::font-family: 'PT Sans Caption', sans-serif;
PT+Sans+Narrow::font-family: 'PT Sans Narrow', sans-serif;
PT+Sans::font-family: 'PT Sans', sans-serif;
PT+Serif+Caption::font-family: 'PT Serif Caption', serif;
PT+Serif::font-family: 'PT Serif', serif;
Pacifico::font-family: 'Pacifico', cursive;
Passero+One::font-family: 'Passero One', cursive;
Patrick+Hand::font-family: 'Patrick Hand', cursive;
Paytone+One::font-family: 'Paytone One', sans-serif;
Permanent+Marker::font-family: 'Permanent Marker', cursive;
Petrona::font-family: 'Petrona', serif;
Philosopher::font-family: 'Philosopher', sans-serif;
Piedra::font-family: 'Piedra', cursive;
Pinyon+Script::font-family: 'Pinyon Script', cursive;
Play::font-family: 'Play', sans-serif;
Playfair+Display::font-family: 'Playfair Display', serif;
Podkova::font-family: 'Podkova', serif;
Poller+One::font-family: 'Poller One', cursive;
Poly::font-family: 'Poly', serif;
Pompiere::font-family: 'Pompiere', cursive;
Prata::font-family: 'Prata', serif;
Prociono::font-family: 'Prociono', serif;
Puritan::font-family: 'Puritan', sans-serif;
Quattrocento+Sans::font-family: 'Quattrocento Sans', sans-serif;
Quattrocento::font-family: 'Quattrocento', serif;
Questrial::font-family: 'Questrial', sans-serif;
Quicksand::font-family: 'Quicksand', sans-serif;
Radley::font-family: 'Radley', serif;
Raleway::font-family: 'Raleway', cursive;
Rammetto+One::font-family: 'Rammetto One', cursive;
Rancho::font-family: 'Rancho', cursive;
Rationale::font-family: 'Rationale', sans-serif;
Redressed::font-family: 'Redressed', cursive;
Reenie+Beanie::font-family: 'Reenie Beanie', cursive;
Ribeye+Marrow::font-family: 'Ribeye Marrow', cursive;
Ribeye::font-family: 'Ribeye', cursive;
Righteous::font-family: 'Righteous', cursive;
Rochester::font-family: 'Rochester', cursive;
Rock+Salt::font-family: 'Rock Salt', cursive;
Rokkitt::font-family: 'Rokkitt', serif;
Rosario::font-family: 'Rosario', sans-serif;
Ruslan+Display::font-family: 'Ruslan Display', cursive;
Salsa::font-family: 'Salsa', cursive;
Sancreek::font-family: 'Sancreek', cursive;
Sansita+One::font-family: 'Sansita One', cursive;
Satisfy::font-family: 'Satisfy', cursive;
Schoolbell::font-family: 'Schoolbell', cursive;
Shadows+Into+Light::font-family: 'Shadows Into Light', cursive;
Shanti::font-family: 'Shanti', sans-serif;
Short+Stack::font-family: 'Short Stack', cursive;
Sigmar+One::font-family: 'Sigmar One', sans-serif;
Signika+Negative::font-family: 'Signika Negative', sans-serif;
Signika::font-family: 'Signika', sans-serif;
